Use,Number of Spaces
Adult Use,1 per 300sf GFA
Amusement Facility - Indoor Only,1 per 300sf GFA
Animal Care Facility,1 per 350sf GFA
Art Gallery or Studio,1 per 600sf GFA
Broadcasting Facility,1 per 500sf GFA
Cannabis - Adult-Use Cannabis Dispensing Organization,1 per 200sf GFA
Cannabis - Adult-Use Industrial Cannabis Facility,1 per each on-site employee + 1 per commercial vehicle
Car Wash,1 per 400sf GFA
Cemetery,"1 per 200sf GFA + 1 per 80,000sf of outdoor space"
Commercial Kitchen,2 per kitchen space + 1 per commercial vehicle
Community Center,1 per 400sf GFA
Cultural Facility,1 per 400sf GFA
Day Care Center,1 per 500sf GFA
Drug Treatment Clinic,1 per 400sf GFA
Dwelling - Above the Ground Floor,1.2 per dwelling unit
Dwelling - Group Home,1 per dwelling unit + 1 per each on-site employee
Dwelling - Multi-Family,1.4 per dwelling unit
Dwelling - Residential Care Facility,1 per 4 beds + 1 per each on-site employee
Dwelling - Single-Family,None required
Dwelling - Townhouse,1.6 per dwelling unit
Dwelling - Two-Family,1.6 per dwelling unit
Educational Facility - Primary or Secondary,2 per classroom + 1 per 300sf of office area
Educational Facility - University or College,4 per classroom + 1 per 300sf of office area
Educational Facility - Vocational,6 per classroom + 1 per 300sf of office area
"Financial Institution, Alternative",1 per 350sf GFA
"Financial Institution, Traditional",1 per 350sf GFA
Firearm Range,1 per 200sf GFA
Firearm Sales,1 per 300sf GFA
Food Bank,1 per 300sf of office area
Food Pantry,1 per 500sf GFA
Funeral Home,1 per 300sf GFA
Gas Station,1 per 400sf GFA
Government Office/Facility,1 per 400sf GFA
Greenhouse/Nursery - Retail,"1 per 500sf of indoor space + 1 per 1,000sf of outdoor space"
Gym or Fitness Studio,1 per 500sf GFA
"Heavy Retail, Rental and Service Establishment","1 per 500sf of indoor space + 1 per 1,000sf of outdoor space"
Hospital,1 per 3 beds + 1 per each on-site employee
Hotel,1 per guestroom + 1 per each on-site employee
Industrial - Artisan Workshop,"1 per 1,250sf GFA"
Industrial - Contractor Office & Storage,1 per each on-site employee + 1 per  commercial vehicle
Industrial - Data Center,"1 per 400sf of office area + 1 per 50,000sf for non-office GFA"
Industrial - Design Workshop,1 per 800sf GFA
Industrial - Heavy,"1 per each on-site employee + 1 per 20,000sf GFA"
Industrial - Light,"1 per each on-site employee + 1 per 20,000sf GFA"
Industrial - Research and Development,1 per 600sf GFA
Industrial - Specialty Food Service,"1 per 850sf GFA up to 20,000sf, then 1 per 1,250sf for additional GFA above 20,000sf  + 1 per commercial vehicle"
Industrial - Warehouse and Distribution,"1 per each on-site employee + 1 per 30,000sf GFA"
Industrial - Wholesale Goods Establishment,"1 per each on-site employee + 1 per 10,000sf GFA"
Live Performance Venue,1 per 4 seats
Lodge/Social Club,1 per 400sf GFA
Medical/Dental Office,1 per 350sf GFA
Micro-Production of Alcohol,1 per 500sf GFA
Office,1 per 400sf GFA
Pawn Shop,1 per 400sf GFA
Place of Worship,1 per 525sf GFA
Reception Facility,1 per 300sf GFA
Restaurant,1 per 165sf GFA
Retail - Goods Showroom,1 per 600sf GFA
Retail - Sales Establishment,1 per 500sf GFA
Retail - Service Establishment,1 per 400sf GFA
Social Service Center,1 per 400sf GFA
Storage Facility,1 per each on-site employee
Tobacco Retail,1 per 250sf GFA
Vehicle Dealership or Rental,1 per 500sf GFA of indoor area (excluding indoor storage of vehicles)
Vehicle Repair/Service,6 per service bay + 1 per each on-site employee
