State,Region,Uses (Permitted and Conditional),Required Spaces
IL,Waukegan,"Dwelling, single-family",2.0/dwelling unit
IL,Waukegan,"Dwelling, two-family",2.0/dwelling unit
IL,Waukegan,"Dwelling, multi-family: 3 bedroom or more",2.0/dwelling unit
IL,Waukegan,"Dwelling, multi-family: 1 or 2 bedrooms",2.0/dwelling unit
IL,Waukegan,"Dwelling, multiple family: 1 bedroom",2.0/dwelling unit
IL,Waukegan,Apartment hotel,2.0/dwelling unit
IL,Waukegan,"Parsonage, rectory or parish house",3.0/dwelling unit
IL,Waukegan,"Hotel and Motel, including Extended Stay Hotels","1.5/dwelling unit, with additional parking spaces required for accessory uses"
IL,Waukegan,Apartment for the elderly,2.0/dwelling unit/room
IL,Waukegan,"Dwelling, multiple-family: Efficiency units",2.0/dwelling unit/room
IL,Waukegan,Rooming house,2.0/dwelling unit/room
IL,Waukegan,"Convalescent home, extended care facility or rest home, nursing home and sanitarium","2.0 for every 3 beds or 1.0/1,000 sq. ft. of gross floor area, whichever is"
IL,Waukegan,"Convent, monastery, nunnery greater","2.0 for every 3 beds or 1.0/1,000 sq. ft. of gross floor area, whichever is"
IL,Waukegan,Home for the aged,"2.0 for every 3 beds or 1.0/1,000 sq. ft. of gross floor area, whichever is"
IL,Waukegan,Religious retreat,"2.0 for every 3 beds or 1.0/1,000 sq. ft. of gross floor area, whichever is"
IL,Waukegan,Aquarium,"2.0/1,000 sq. ft. of gross floor area, plus 1.0 space for every 3 persons of auditorium  design capacity"
IL,Waukegan,Historic site,"2.0/1,000 sq. ft. of gross floor area, plus 1.0 space for every 3 persons of auditorium  design capacity"
IL,Waukegan,"Library, museum or art gallery, public","2.0/1,000 sq. ft. of gross floor area, plus 1.0 space for every 3 persons of auditorium  design capacity"
IL,Waukegan,"Nursery school, child care center","2.0/1,000 sq. ft. of gross floor area"
IL,Waukegan,"Greenhouse, wholesale","2.0/1,000 sq. ft. of gross floor area"
IL,Waukegan,Bank and Financial institutions,"3.0/1,000 sq. ft. of gross floor area"
IL,Waukegan,"Office: Business, professional and govt.","3.0/1,000 sq. ft. of gross floor area"
IL,Waukegan,Animal hospital and Veterinarian,"4.0/1,000 sq. ft. of gross floor area"
IL,Waukegan,Animal kennels,"4.0/1,000 sq. ft. of gross floor area"
